dow_number,lake_name,county,survey_id,survey_date,survey_type,survey_sub_type,species,gear,gear_count,total_catch,cpue,quartile_count_low,quartile_count_high,total_weight,average_weight,quartile_weight_low,quartile_weight_high
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,WAE,Standard gill nets,6,6,1.00,1,.,5927,2.18,1,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,PMK,Standard gill nets,6,3,0.50,N,/,448,0.33,N,/
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,SHR,Standard gill nets,6,2,0.33,0,.,1300,1.43,1,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,YEB,Standard gill nets,6,1,0.17,0,.,666,1.47,0,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,BLG,Standard gill nets,6,4,0.67,N,/,833,0.46,N,/
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,BOF,Standard gill nets,6,2,0.33,0,.,4403,4.85,2,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,YEP,Standard gill nets,6,99,16.50,3,.,8994,0.20,0,.
01004000,Aitkin,Aitkin,20232319128577000,2023-07-10,Targeted Survey,Targeted Survey,LMB,Standard gill nets,6,3,0.50,0,.,3317,2.44,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,BRB,Standard trap nets,9,2,0.22,0,.,748,0.82,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,YEP,Standard trap nets,9,2,0.22,0,.,247,0.27,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,YEB,Standard gill nets,6,3,0.50,0,.,1001,0.74,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,NOP,Standard gill nets,6,26,4.33,3,.,17367,1.47,1,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,YEB,Standard trap nets,9,26,2.89,1,.,10959,0.93,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,NOP,Standard trap nets,9,10,1.11,N,/,7400,1.63,N,/
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,SHR,Standard gill nets,6,2,0.33,0,.,2349,2.59,1,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,WAE,Standard gill nets,6,2,0.33,1,.,3143,3.46,1,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,LMB,Standard gill nets,6,2,0.33,0,.,1084,1.19,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,BLG,Standard gill nets,6,6,1.00,N,/,1081,0.40,N,/
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,PMK,Standard gill nets,6,5,0.83,N,/,320,0.14,N,/
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,BOF,Standard gill nets,6,1,0.17,0,.,3950,8.71,2,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,BLC,Standard gill nets,6,8,1.33,1,.,773,0.21,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,YEP,Standard gill nets,6,34,5.67,3,.,2987,0.19,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,BRB,Standard gill nets,6,3,0.50,0,.,1679,1.23,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,WAE,Standard trap nets,9,2,0.22,0,.,2378,2.62,1,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,LMB,Standard trap nets,9,3,0.33,0,.,3222,2.37,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,PMK,Standard trap nets,9,25,2.78,1,.,3500,0.31,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,BLG,Standard trap nets,9,88,9.78,4,.,16869,0.42,0,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,BOF,Standard trap nets,9,24,2.67,0,.,51504,4.73,3,.
01004000,Aitkin,Aitkin,970818551751003,2008-07-14,Standard Survey,Population Assessment,BLC,Standard trap nets,9,5,0.56,0,.,773,0.34,0,.
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,PMK,Backpack electrofishing,1.39972222222222,13,9.29,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,FND,15-ft beach seine,11,1,0.09,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,IOD,Backpack electrofishing,1.39972222222222,1,0.71,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,BLG,Backpack electrofishing,1.39972222222222,8,5.72,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,LMB,Backpack electrofishing,1.39972222222222,10,7.14,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,YEP,Backpack electrofishing,1.39972222222222,5,3.57,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,JND,Backpack electrofishing,1.39972222222222,5,3.57,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,NOP,Backpack electrofishing,1.39972222222222,1,0.71,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,TPM,Backpack electrofishing,1.39972222222222,1,0.71,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,CNM,Backpack electrofishing,1.39972222222222,8,5.72,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,BLG,15-ft beach seine,11,4,0.36,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,LMB,15-ft beach seine,11,15,1.36,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,YEP,15-ft beach seine,11,1,0.09,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,NOP,15-ft beach seine,11,3,0.27,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,13731619451675000,2016-07-13,Targeted Survey,Targeted Survey,BLC,15-ft beach seine,11,1,0.09,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BLB,Standard trap nets,9,3,0.33,0,.,909,0.67,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BRB,Standard trap nets,9,10,1.11,0,.,3231,0.71,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,YEP,Standard trap nets,9,17,1.89,0,.,1626,0.21,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,YEB,Standard gill nets,6,1,0.17,0,.,267,0.59,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,NOP,Standard gill nets,6,52,8.67,3,.,21299,0.90,1,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,OTM,Survey seining,3,44,14.67,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,YEB,Standard trap nets,9,3,0.33,1,.,956,0.70,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,NOP,Standard trap nets,9,6,0.67,N,/,2634,0.97,N,/
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,SHR,Standard gill nets,6,4,0.67,0,.,3792,2.09,1,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,LMB,Survey seining,3,5,1.67,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,WAE,Standard gill nets,6,4,0.67,1,.,4494,2.48,1,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,LMB,Standard gill nets,6,1,0.17,0,.,710,1.57,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BLG,Standard gill nets,6,1,0.17,N,/,298,0.66,N,/
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,YEP,Survey seining,3,150,50.00,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,PMK,Standard gill nets,6,2,0.33,N,/,240,0.26,N,/
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BOF,Standard gill nets,6,1,0.17,0,.,3360,7.41,2,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,WTS,Standard gill nets,6,4,0.67,0,.,5011,2.76,1,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BLC,Standard gill nets,6,8,1.33,1,.,768,0.21,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BLB,Standard gill nets,6,5,0.83,1,.,1716,0.76,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,YEP,Standard gill nets,6,92,15.33,3,.,7110,0.17,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BRB,Standard gill nets,6,18,3.00,0,.,6860,0.84,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,WAE,Standard trap nets,9,1,0.11,0,.,720,1.59,1,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BLG,Standard trap nets,9,14,1.56,4,.,3171,0.50,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,PMK,Standard trap nets,9,47,5.22,1,.,6740,0.32,0,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BOF,Standard trap nets,9,7,0.78,0,.,21054,6.63,3,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,NOP,Survey seining,3,6,2.00,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,WTS,Standard trap nets,9,2,0.22,0,.,3095,3.41,1,.
01004000,Aitkin,Aitkin,113362,1993-07-12,Standard Survey,Re-Survey,BLC,Standard trap nets,9,7,0.78,0,.,1703,0.54,0,.
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,LMB,Backpack electrofishing,1.10666666666667,21,18.98,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,PMK,Backpack electrofishing,1.10666666666667,8,7.23,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,BLG,Backpack electrofishing,1.10666666666667,55,49.70,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,BLC,Backpack electrofishing,1.10666666666667,8,7.23,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,CNM,Backpack electrofishing,1.10666666666667,7,6.33,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,YEP,Backpack electrofishing,1.10666666666667,10,9.04,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,NOP,50-ft beach seine,3,2,0.67,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,JND,Backpack electrofishing,1.10666666666667,5,4.52,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,CSH,15-ft beach seine,5,3,0.60,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,TPM,Backpack electrofishing,1.10666666666667,3,2.71,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,IOD,15-ft beach seine,5,1,0.20,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,GOS,50-ft beach seine,3,184,61.33,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,LMB,15-ft beach seine,5,10,2.00,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,BLG,15-ft beach seine,5,46,9.20,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,PMK,15-ft beach seine,5,1,0.20,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,YEP,15-ft beach seine,5,35,7.00,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,BNS,Backpack electrofishing,1.10666666666667,1,0.90,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,YEB,Backpack electrofishing,1.10666666666667,1,0.90,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,GOS,Backpack electrofishing,1.10666666666667,27,24.40,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,CSH,50-ft beach seine,3,9,3.00,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,LMB,50-ft beach seine,3,25,8.33,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,BLG,50-ft beach seine,3,110,36.67,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,PMK,50-ft beach seine,3,14,4.67,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,HSF,Backpack electrofishing,1.10666666666667,1,0.90,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,BLC,50-ft beach seine,3,550,183.33,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,YEP,50-ft beach seine,3,111,37.00,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,CSH,Backpack electrofishing,1.10666666666667,1,0.90,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,14091622428236002,2016-08-15,Targeted Survey,Targeted Survey,IOD,Backpack electrofishing,1.10666666666667,2,1.81,N,/,0,0.00,N,/
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,BRB,Standard trap nets,9,3,0.33,0,.,1176,0.86,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,YEP,Standard trap nets,9,51,5.67,0,.,7011,0.30,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,YEB,Standard gill nets,6,4,0.67,0,.,770,0.42,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,NOP,Standard gill nets,6,35,5.83,3,.,11921,0.75,1,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,YEB,Standard trap nets,9,12,1.33,1,.,5013,0.92,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,NOP,Standard trap nets,9,9,1.00,N,/,3295,0.81,N,/
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,GOS,Standard trap nets,9,7,0.78,0,.,168,0.05,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,WAE,Standard gill nets,6,7,1.17,1,.,4895,1.54,1,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,HSF,Standard trap nets,9,3,0.33,N,/,552,0.41,N,/
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,BOF,Standard gill nets,6,1,0.17,0,.,3580,7.89,2,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,TLC,Standard gill nets,6,3,0.50,0,.,3240,2.38,1,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,WTS,Standard gill nets,6,9,1.50,0,.,11740,2.88,1,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,BLC,Standard gill nets,6,3,0.50,1,.,868,0.64,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,YEP,Standard gill nets,6,97,16.17,3,.,11845,0.27,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,BRB,Standard gill nets,6,9,1.50,0,.,7048,1.73,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,WAE,Standard trap nets,9,3,0.33,0,.,4720,3.47,1,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,LMB,Standard trap nets,9,2,0.22,0,.,77,0.08,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,PMK,Standard trap nets,9,33,3.67,1,.,6409,0.43,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,BLG,Standard trap nets,9,5,0.56,4,.,1256,0.55,0,.
01004000,Aitkin,Aitkin,113594,1998-06-22,Standard Survey,Population Assessment,BOF,Standard trap nets,9,3,0.33,0,.,7090,5.21,3,.
